wavelength,blue_02,black_03,white_03,orange_03,LACM_30859-25_black,LACM_30859-25_white,LACM_30859-25_orange,LACM_30859-25_blue,LACM_1272_black,LACM_1272_white,LACM_1272_orange,LACM_1272_blue
606,0.188552007,0.086408675,0.918660045,0.291083097,0.246465266,0.564246178,0.458263606,0.398225158,0.178718179,0.401573956,0.31270659,0.293106794
610,0.182949737,0.086468212,0.903266549,0.28847608,0.257122874,0.573062599,0.469300419,0.403751373,0.18709752,0.407414705,0.319281995,0.298719287
614,0.182923973,0.08816313,0.916442394,0.290425003,0.264312625,0.586277008,0.478255063,0.406977177,0.193392918,0.416929275,0.325229943,0.305003166
618,0.184390426,0.090286717,0.934636772,0.294060737,0.271143228,0.598716378,0.486742079,0.409974247,0.199345663,0.425890505,0.33083573,0.310920089
622,0.185126588,0.092414841,0.944835186,0.296389073,0.278323114,0.611562431,0.496532917,0.414416045,0.205572933,0.434873343,0.337674856,0.316988558
626,0.186943054,0.095479086,0.957589567,0.301128864,0.28724277,0.622578442,0.507107019,0.42003718,0.21313791,0.442312866,0.345286161,0.323616922
630,0.191092432,0.099150881,0.984720588,0.309473127,0.295296401,0.635048509,0.517683744,0.425316304,0.219854683,0.45079875,0.352706134,0.33027494
634,0.188082069,0.10118486,0.988333702,0.312301457,0.304643124,0.642759442,0.525766134,0.429218531,0.226820067,0.455953181,0.357047796,0.337254852
638,0.17908287,0.100344181,0.963948369,0.306250513,0.314074129,0.650263608,0.53377229,0.432813495,0.233941048,0.460927635,0.36137262,0.34414342
642,0.174954012,0.101410568,0.955561161,0.306509078,0.325044036,0.657899439,0.546338856,0.439354718,0.244037226,0.466455638,0.368334711,0.353224844
646,0.174161986,0.102967873,0.960570335,0.309258252,0.334453166,0.668841958,0.559841275,0.445622414,0.252988219,0.474472582,0.375856131,0.362117767
650,0.173143551,0.104566596,0.962430358,0.310328156,0.345061511,0.682052553,0.573267639,0.452601343,0.261969566,0.484092623,0.383832246,0.371353477
654,0.170791969,0.106318548,0.951996744,0.309559256,0.357911497,0.69361341,0.585575879,0.460563868,0.27177304,0.492325813,0.392183751,0.381558448
658,0.170064375,0.109038278,0.951030612,0.311862618,0.370823294,0.705231428,0.597954929,0.46870333,0.281667888,0.500619411,0.40058741,0.391763657
662,0.168998182,0.111548312,0.943749785,0.313058347,0.381070107,0.718590379,0.610901058,0.477791756,0.292964131,0.510173917,0.409806848,0.40145731
666,0.167879865,0.114066444,0.928950548,0.314298302,0.391586661,0.729546726,0.625148177,0.488606662,0.305868357,0.518132091,0.420073748,0.41247794
670,0.168269187,0.117760345,0.923479557,0.319713384,0.402031779,0.740065217,0.639258444,0.499648005,0.318695784,0.525790811,0.430325061,0.423689336
674,0.174007207,0.123614691,0.925061703,0.3334378,0.412521929,0.74185884,0.649947941,0.509135544,0.329911679,0.528486669,0.437551409,0.434556216
678,0.182055786,0.130744383,0.935493946,0.350292861,0.422677577,0.743340552,0.659881234,0.51796788,0.340761155,0.531495452,0.444244683,0.444813937
682,0.191898614,0.135153264,0.94815892,0.363962233,0.431340277,0.749714911,0.670196831,0.528939188,0.349932253,0.53789413,0.450447202,0.454397023
686,0.202392638,0.13667801,0.957151353,0.375137776,0.437387049,0.753959477,0.679903328,0.542141616,0.356747359,0.542408407,0.455649376,0.464252859
690,0.213024527,0.138436273,0.962708592,0.385558039,0.444396347,0.758450508,0.690316498,0.555950284,0.364930958,0.547238111,0.461474001,0.474490315
694,0.230233595,0.143042788,0.966717482,0.395746469,0.455188453,0.765476942,0.702498674,0.568145454,0.378697962,0.553258121,0.470669687,0.483140528
698,0.245872736,0.146363854,0.961774945,0.402528226,0.466231614,0.773455918,0.714902163,0.580471814,0.392846465,0.559947371,0.480007499,0.491996348
702,0.262028843,0.148471862,0.959427774,0.412102193,0.473728657,0.777930677,0.726904988,0.594710767,0.402782232,0.564176023,0.48782894,0.501439214
706,0.284268558,0.152554765,0.974438608,0.42888698,0.480380535,0.780971944,0.739586294,0.610343337,0.411747992,0.567311168,0.495458454,0.511445284
710,0.315496922,0.162594303,1.018314362,0.459151357,0.48777014,0.784672916,0.7530545,0.626721084,0.421388537,0.571041286,0.503579438,0.522115171
